id,age,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income-per-year,education_10th,education_11th,education_12th,education_1st-4th,education_5th-6th,education_7th-8th,education_9th,education_Assoc-acdm,education_Assoc-voc,education_Bachelors,education_Doctorate,education_HS-grad,education_Masters,education_Preschool,education_Prof-school,education_Some-college,workclass_Federal-gov,workclass_Local-gov,workclass_Private,workclass_Self-emp-inc,workclass_Self-emp-not-inc,workclass_State-gov,workclass_Without-pay
1,-0.7488884201469791,115585,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,0.6950250586871553,United-States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2,-0.5187176408431537,194981,9,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,-0.48129373512945883,United-States,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
3,-0.9790591994508043,236564,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,-0.1452026511818548,United-States,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
6,-0.05837608223550326,30916,12,Married-civ-spouse,Sales,Husband,White,Male,0,0,1.5352527685561652,United-States,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,-0.4419940477418787,275369,4,Separated,Handlers-cleaners,Not-in-family,Black,Male,0,0,-0.5653165061163599,Haiti,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10,-0.8256120132482542,185127,10,Never-married,Sales,Not-in-family,White,Male,0,0,-0.1452026511818548,United-States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
11,1.5528193728912736,193895,10,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,-0.5653165061163599,United-States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
12,1.3226485935874484,165881,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,0.6950250586871553,United-States,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
14,-0.8256120132482542,163772,9,Married-civ-spouse,Other-service,Husband,Other,Male,0,0,-0.1452026511818548,United-States,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
15,1.0924778142836231,263925,9,Married-civ-spouse,Sales,Husband,White,Male,99999,0,-0.1452026511818548,United-States,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
16,-0.672164827045704,257874,13,Never-married,Sales,Not-in-family,White,Female,0,0,-0.9854303610508648,United-States,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
17,0.4786890694734224,151627,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,0.2749112037526502,United-States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
18,-1.1325063856533546,142528,10,Never-married,Sales,Own-child,White,Male,0,0,-1.8256580709198749,United-States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
20,-0.672164827045704,158291,13,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,-0.1452026511818548,United-States,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
22,-0.13509967533677836,49626,11,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,0.1068656617788482,United-States,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23,0.939030628081073,454063,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,7298,0,-0.1452026511818548,United-States,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
