country,population
ABW,107195
AFE,694665117
AFG,39835428
AFW,470898870
AGO,33933611
ALB,2811666
AND,77354
ARB,444517783
ARE,9991083
ARG,45808747
ARM,2968128
ASM,55103
ATG,98728
AUS,25739256
AUT,8956279
AZE,10145212
BDI,12255429
BEL,11587882
BEN,12451031
BFA,21497097
BGD,166303494
BGR,6899125
BHR,1748295
BHS,396914
BIH,3263459
BLR,9340314
BLZ,404915
BMU,63867
BOL,11832936
BRA,213993441
BRB,287708
BRN,441532
BTN,779900
BWA,2397240
CAF,4919987
CAN,38246108
CEB,101669618
CHE,8697723
CHI,175244
CHL,19212362
CHN,1412360000
CIV,27053629
CMR,27224262
COD,92377986
COG,5657017
COL,51265841
COM,888456
CPV,561901
CRI,5139053
CSS,7481631
CUB,11317498
CUW,152369
CYM,66498
CYP,1215588
CZE,10703446
DEU,83129285
DJI,1002197
DMA,72172
DNK,5856733
DOM,10953714
DZA,44616626
EAP,2122086315
EAR,3373866849
EAS,2368622859
ECA,401828885
ECS,923753699
ECU,17888474
EGY,104258327
EMU,342566541
ERI,
ESP,47326687
EST,1329254
ETH,117876226
EUU,446946712
FCS,982980816
FIN,5541696
FJI,902899
FRA,67499343
FRO,49053
FSM,116255
GAB,2278829
GBR,67326569
GEO,3708610
GHA,31732128
GIB,33691
GIN,13497237
GMB,2486937
GNB,2015490
GNQ,1449891
GRC,10664568
GRD,113015
GRL,56653
GTM,17109746
GUM,170184
GUY,790329
HIC,1241374277
HKG,7413100
HND,10062994
HPC,845522272
HRV,3899000
HTI,11541683
HUN,9709886
IBD,4895295243
IBT,6642614110
IDA,1747318867
IDB,586883422
IDN,276361788
IDX,1160435445
IMN,85410
IND,1393409033
IRL,5028230
IRN,85028760
IRQ,41179351
ISL,372295
ISR,9364000
ITA,59066225
JAM,2973462
JOR,10269022
JPN,125681593
KAZ,19002586
KEN,54985702
KGZ,6694200
KHM,16946446
KIR,121388
KNA,53546
KOR,51744876
KWT,4328553
LAC,596217644
LAO,7379358
LBN,6769151
LBR,5180208
LBY,6958538
LCA,184401
LCN,658089208
LDC,1081504804
LIC,701926973
LIE,38254
LKA,22156000
LMC,3363196656
LMY,6566551568
LSO,2159067
LTE,2322070390
LTU,2795321
LUX,639070
LVA,1883162
MAC,658391
MAF,39239
MAR,37344787
MCO,39520
MDA,2573928
MDG,28427333
MDV,543620
MEA,472494995
MEX,130262220
MHL,59618
MIC,5864624595
MKD,2065092
MLI,20855724
MLT,516869
MMR,54806014
MNA,403051615
MNE,620173
MNG,3329282
MNP,57910
MOZ,32163045
MRT,4775110
MUS,1266060
MWI,19647681
MYS,32776195
NAC,370203720
NAM,2587344
NCL,272620
NER,25130810
NGA,211400704
NIC,6702379
NLD,17533405
NOR,5408320
NPL,29674920
NRU,10873
NZL,5122600
OED,1375820281
OMN,5223376
OSS,32464282
PAK,225199929
PAN,4381583
PER,33359416
PHL,111046910
PLW,18174
PNG,9119005
POL,37781024
PRE,997158227
PRI,3263584
PRK,25887045
PRT,10299423
PRY,7219641
PSE,4922749
PSS,2566494
PST,1116655196
PYF,282534
QAT,2930524
ROU,19115146
RUS,143446060
RWA,13276517
SAS,1877902324
SAU,35340680
SDN,44909351
SEN,17196308
SGP,5453566
SLB,703995
SLE,8141343
SLV,6518500
SMR,34010
SOM,16359500
SRB,6844078
SSA,1165464785
SSD,11381377
SSF,1165563987
SST,42512407
STP,223364
SUR,591798
SVK,5447247
SVN,2107007
SWE,10415811
SWZ,1172369
SXM,42846
SYC,99202
SYR,18275704
TCA,39226
TCD,16914985
TEA,2096155040
TEC,462624055
TGO,8478242
THA,69950844
TJK,9749625
TKM,6117933
TLA,642239838
TLS,1343875
TMN,398128866
TON,106759
TSA,1877902324
TSS,1165563987
TTO,1403374
TUN,11935764
TUR,85042736
TUV,11925
TZA,61498438
UGA,47123533
UKR,43814581
UMC,2501427939
URY,3485152
USA,331893745
UZB,34915100
VCT,111269
VEN,28704947
VGB,30423
VIR,105870
VNM,98168829
VUT,314464
WLD,7836630792
WSM,200144
XKX,1806279
YEM,30490639
ZAF,60041996
ZMB,18920657
ZWE,15092171
